Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
81,20,2,113,4,Some Random Commen with Id 81
82,20,2,123,8,Some Random Commen with Id 82
83,21,1,60,4,Some Random Commen with Id 83
84,21,1,107,9,Some Random Commen with Id 84
85,22,7,20,3,Some Random Commen with Id 85
86,24,9,49,0,Some Random Commen with Id 86
87,24,9,66,8,Some Random Commen with Id 87
88,24,9,61,6,Some Random Commen with Id 88
89,24,9,78,1,Some Random Commen with Id 89
90,25,1,80,4,Some Random Commen with Id 90
91,25,1,97,7,Some Random Commen with Id 91
92,26,9,114,5,Some Random Commen with Id 92
93,26,9,84,4,Some Random Commen with Id 93
94,26,9,188,6,Some Random Commen with Id 94
95,26,9,95,0,Some Random Commen with Id 95
96,26,9,158,7,Some Random Commen with Id 96
97,26,9,32,4,Some Random Commen with Id 97
98,27,3,5,1,Some Random Commen with Id 98
99,28,4,104,2,Some Random Commen with Id 99
100,28,4,4,9,Some Random Commen with Id 100
101,28,4,149,3,Some Random Commen with Id 101
102,28,4,65,8,Some Random Commen with Id 102
103,28,4,74,5,Some Random Commen with Id 103
104,28,4,164,5,Some Random Commen with Id 104
105,28,4,10,4,Some Random Commen with Id 105
106,28,4,110,3,Some Random Commen with Id 106
107,30,0,176,7,Some Random Commen with Id 107
108,30,0,116,5,Some Random Commen with Id 108
109,30,0,124,5,Some Random Commen with Id 109
110,30,0,127,0,Some Random Commen with Id 110
111,30,0,182,2,Some Random Commen with Id 111
112,30,0,53,4,Some Random Commen with Id 112
113,31,6,193,4,Some Random Commen with Id 113
114,31,6,125,0,Some Random Commen with Id 114
115,31,6,8,8,Some Random Commen with Id 115
116,31,6,62,3,Some Random Commen with Id 116
117,31,6,1,2,Some Random Commen with Id 117
118,31,6,191,1,Some Random Commen with Id 118
119,31,6,43,1,Some Random Commen with Id 119
120,32,0,139,4,Some Random Commen with Id 120
121,32,0,34,4,Some Random Commen with Id 121
122,32,0,40,1,Some Random Commen with Id 122
123,32,0,197,4,Some Random Commen with Id 123
124,33,3,109,2,Some Random Commen with Id 124
125,35,8,7,4,Some Random Commen with Id 125
126,35,8,136,9,Some Random Commen with Id 126
127,35,8,31,1,Some Random Commen with Id 127
128,35,8,80,7,Some Random Commen with Id 128
129,35,8,92,9,Some Random Commen with Id 129
130,35,8,109,8,Some Random Commen with Id 130
131,35,8,77,3,Some Random Commen with Id 131
132,35,8,82,0,Some Random Commen with Id 132
133,35,8,153,9,Some Random Commen with Id 133
134,36,1,94,5,Some Random Commen with Id 134
135,36,1,45,8,Some Random Commen with Id 135
136,36,1,107,9,Some Random Commen with Id 136
137,36,1,39,4,Some Random Commen with Id 137
138,36,1,102,2,Some Random Commen with Id 138
139,36,1,191,6,Some Random Commen with Id 139
140,36,1,139,3,Some Random Commen with Id 140
141,36,1,82,7,Some Random Commen with Id 141
142,37,7,188,1,Some Random Commen with Id 142
143,37,7,74,6,Some Random Commen with Id 143
144,37,7,112,8,Some Random Commen with Id 144
145,37,7,176,1,Some Random Commen with Id 145
146,37,7,76,4,Some Random Commen with Id 146
147,37,7,47,0,Some Random Commen with Id 147
148,37,7,77,1,Some Random Commen with Id 148
149,37,7,146,7,Some Random Commen with Id 149
150,38,6,197,2,Some Random Commen with Id 150
151,38,6,151,5,Some Random Commen with Id 151
152,38,6,108,6,Some Random Commen with Id 152
153,38,6,153,2,Some Random Commen with Id 153
154,38,6,55,4,Some Random Commen with Id 154
155,38,6,169,3,Some Random Commen with Id 155
156,38,6,12,1,Some Random Commen with Id 156
157,38,6,174,8,Some Random Commen with Id 157
158,39,9,171,6,Some Random Commen with Id 158
159,39,9,103,6,Some Random Commen with Id 159
160,39,9,147,8,Some Random Commen with Id 160
161,39,9,136,9,Some Random Commen with Id 161
162,39,9,164,2,Some Random Commen with Id 162
163,39,9,184,4,Some Random Commen with Id 163
